,product_name,refridgerated,frozen,dry
0,Organic Whole Milk,1,0,0
1,Organic Yellow Onion,1,0,0
2,Shredded Parmesan,1,0,0
3,Seedless Red Grapes,1,0,0
4,Organic Small Bunch Celery,1,0,0
5,Organic Lemon,1,0,0
6,Clementines,1,0,0
7,Organic Whole String Cheese,1,0,0
8,Organic Navel Orange,1,0,0
9,Organic Garnet Sweet Potato (Yam),1,0,0
10,Organic Fuji Apple,1,0,0
11,Broccoli Crown,1,0,0
12,Organic Grade A Free Range Large Brown Eggs,1,0,0
13,Organic Hass Avocado,1,0,0
14,Bag of Organic Bananas,1,0,0
15,Organic Baby Carrots,1,0,0
16,Organic Strawberries,1,0,0
17,Jalapeno Peppers,1,0,0
18,Organic Baby Spinach,1,0,0
19,Green Bell Pepper,1,0,0
20,Organic D'Anjou Pears,1,0,0
21,Boneless Skinless Chicken Breasts,1,0,0
22,Unsweetened Almondmilk,1,0,0
23,Banana,1,0,0
24,Organic Garlic,1,0,0
25,Limes,1,0,0
26,Organic Tomato Cluster,1,0,0
27,Organic Blackberries,1,0,0
28,Organic Half & Half,1,0,0
29,Fresh Cauliflower,1,0,0
30,Uncured Genoa Salami,1,0,0
31,Michigan Organic Kale,1,0,0
32,Organic Raspberries,1,0,0
33,Organic Cilantro,1,0,0
34,Cucumber Kirby,1,0,0
35,Original Hummus,1,0,0
36,Unsalted Butter,1,0,0
37,Grated Parmesan,1,0,0
38,Total 2% with Strawberry Lowfat Greek Strained Yogurt,1,0,0
39,Organic Italian Parsley Bunch,1,0,0
40,Organic Spring Mix,1,0,0
41,Organic Blueberries,1,0,0
42,Organic Kiwi,1,0,0
43,Organic Grape Tomatoes,1,0,0
44,Organic Romaine Lettuce,1,0,0
45,Organic Extra Firm Tofu,1,0,0
46,Organic Zucchini,1,0,0
47,Organic Ginger Root,1,0,0
48,Asparagus,1,0,0
49,Large Lemon,1,0,0
50,Uncured Hickory Smoked Sunday Bacon,1,0,0
51,Organic Chicken Thighs,1,0,0
52,Fresh Mozzarella Ball,1,0,0
53,Whipped Cream Cheese,1,0,0
54,85% Lean Ground Beef,1,0,0
55,Tuna Salad,1,0,0
56,Original Rotisserie Chicken,1,0,0
57,Smoked Salmon,1,0,0
58,Original Recipe Rice Pudding,1,0,0
59,Tilapia Filet,1,0,0
60,Ground Turkey Breast,1,0,0
61,Organic Basil,1,0,0
62,Organic Sour Cream,1,0,0
63,Watermelon Chunks,1,0,0
64,Organic Celery Hearts,1,0,0
65,Organic White Onions,1,0,0
66,Organic Bell Pepper,1,0,0
67,Brussels Sprouts,1,0,0
68,"Milk, Organic, Vitamin D",1,0,0
69,Total 2% Lowfat Greek Strained Yogurt with Peach,1,0,0
70,Sweet Onion,1,0,0
71,Organic Butternut Squash,1,0,0
72,Organic Thyme,1,0,0
73,European Cucumber,1,0,0
74,Organic Mint,1,0,0
75,Guacamole,1,0,0
76,Globe Eggplant,1,0,0
77,Spinach,1,0,0
78,Organic Beef Hot Dogs,1,0,0
79,Organic Dill,1,0,0
80,Natural Chicken & Sage Breakfast Sausage,1,0,0
81,Seedless Small Watermelon,1,0,0
82,Bing Cherries,1,0,0
83,Organic Iceberg Lettuce,1,0,0
84,"Cage Free Brown Eggs-Large, Grade A",1,0,0
85,Organic Original Hommus,1,0,0
86,Uncured Slow Cooked Ham,1,0,0
87,Organic Spaghetti Squash,1,0,0
88,English Seedless Cucumber,1,0,0
89,"Organic Milk Reduced Fat, 2% Milkfat",1,0,0
90,Cream Cheese Spread,1,0,0
91,Oven Roasted Turkey,1,0,0
92,Sugar Snap Peas,1,0,0
93,Green Tea With Ginseng and Honey,1,0,0
94,Organic Cauliflower,1,0,0
95,Organic Whipped Naturally Buttery Spread,1,0,0
96,Mandarin Oranges,1,0,0
97,Rainbow Bell Peppers,1,0,0
98,Reduced Fat Milk 100% Lactose Free,1,0,0
99,"Yogurt, Strained Low-Fat, Coconut",1,0,0
100,Frozen Organic Wild Blueberries,0,1,0
101,Pineapple Chunks,0,1,0
102,Organic Frozen Peas,0,1,0
103,Mango Chunks,0,1,0
104,Berry Medley,0,1,0
105,Organic Brown Rice,0,1,0
106,Gluten Free Whole Grain Bread,0,1,0
107,Organic Cheese Frozen Pizza,0,1,0
108,Organic Chopped Spinach,0,1,0
109,Organic Multigrain Waffles,0,1,0
110,Organic Mixed Vegetables,0,1,0
111,Organic Sliced Peaches,0,1,0
112,Naturals Chicken Nuggets,0,1,0
113,Pesto Tortellini  Bowls,0,1,0
114,Organic Edamame,0,1,0
115,Organic Beans & Rice Cheddar Cheese Burrito,0,1,0
116,Ice Cream Sandwiches Vanilla,0,1,0
117,Organic Cut Green Beans,0,1,0
118,Seven Grain Crispy Tenders,0,1,0
119,Mediterranean Mint Gelato,0,1,0
120,Sweet Potato Fries with Sea Salt,0,1,0
121,Organic Berry Blend,0,1,0
122,Mint Chip,0,1,0
123,Natural Chicken & Maple Breakfast Sausage Patty,0,1,0
124,Pad Thai,0,1,0
125,Organic Acai Berry Smoothie Packs,0,1,0
126,Watermelon Agave Frozen Pops,0,1,0
127,Petite Brussels Sprouts,0,1,0
128,Raw Shrimp,0,1,0
129,Dark Chocolate Covered Banana,0,1,0
130,Ice Bag,0,1,0
131,Vanilla Milk Chocolate Almond Ice Cream Bars,0,1,0
132,California Veggie Burgers - 4 CT,0,1,0
133,Light and Lean Quinoa Black Beans with Butternut Squash and Chard,0,1,0
134,Cheese Ravioli with Sauce Bowls,0,1,0
135,Pizza Dough,0,1,0
136,Sicilian Pistachio,0,1,0
137,Mexican Casserole Bowl,0,1,0
138,Fire Grilled Steak Bowl,0,1,0
139,Sesame Street Organic Mini Blueberry Pancakes,0,1,0
140,All Natural French Toast Sticks,0,1,0
141,Cut Okra,0,1,0
142,Country Cheddar Bowl,0,1,0
143,Artichoke Hearts,0,1,0
144,Black Bean Tamale Verde,0,1,0
145,Gluten Free Mushroom Risotto Bowl,0,1,0
146,Indian Paneer Tikka,0,1,0
147,Mocha Almond Fudge Minis Almond Milk Frozen Dessert,0,1,0
148,Crushed Garlic,0,1,0
149,Pepperoni Pizza Rolls,0,1,0
150,Organic Fire Roasted Corn,0,1,0
151,Baked Mini Beef Meatballs,0,1,0
152,Eggo Pancakes Minis,0,1,0
153,Tater Tots,0,1,0
154,Crispy Chick'n Sliders,0,1,0
155,Original Whipped Topping,0,1,0
156,Shelled Edamame,0,1,0
157,Tater Puffs,0,1,0
158,Shepherd's Pie,0,1,0
159,Gluten Free Paleo Fettuccine,0,1,0
160,Pearl Onions,0,1,0
161,Enchilada Black Bean Vegetable,0,1,0
162,Breaded Fish Sticks,0,1,0
163,"Eggs, Cheese & Turkey Sausage Breakfast Burrito",0,1,0
164,Uncrustables Peanut Butter & Grape Jelly Sandwich,0,1,0
165,Onion Rings,0,1,0
166,Delights Turkey Sausage Egg Whites & Cheese English Muffin,0,1,0
167,Pastry Kitchens Classic Puff Pastry,0,1,0
168,Chipotle Lime Meat-Free Crispy Fingers,0,1,0
169,Golden Fishless Filet,0,1,0
170,Breakfast Veggie Bacon Strips,0,1,0
171,Lightly Seasoned Chick'n Scallopini,0,1,0
172,Meatloaf and Mashed Potatoes,0,1,0
173,Egg & Smoked Gouda Multi-Grain Flatbread Breakfast Sandwich,0,1,0
174,Baked Soft Pretzels,0,1,0
175,Non Dairy Coffee Caramel Fudge,0,1,0
176,Teriyaki Meal Bowls,0,1,0
177,Thai Green Curry,0,1,0
178,Gluten Free Original Baguettes,0,1,0
179,Meatles  Soy Gluten-Free Grounds,0,1,0
180,Italian Herbs & Olive Oil Mozzarella Stix,0,1,0
181,Drumsticks,0,1,0
182,Spa Cuisine Butternut Squash Ravioli,0,1,0
183,Corn Meal Pizza Crust,0,1,0
184,Chicken-Free Strips Seasoned,0,1,0
185,Gluten Free Hamburger Buns,0,1,0
186,Comfort Roasted Turkey Breast Dinner,0,1,0
187,Freeze Dried Strawberry Slices,0,1,0
188,Microwaveable 100% Beef Cheeseburgers,0,1,0
189,Toaster Strudel Strawberry Pastries,0,1,0
190,"Lasagna, Vegetable, with Daiya Cheeze",0,1,0
191,Organic Pomegranate Kernels,0,1,0
192,Buffalo Wings,0,1,0
193,Premium Selects Brussels Sprouts,0,1,0
194,Gluten Free Plain Tortilla,0,1,0
195,Tilapia Fillets,0,1,0
196,Home Style Beefless Tips,0,1,0
197,Gluten Free Cinnamon French Toast Sticks,0,1,0
