product_id,product_name,department_id,department,aisle_id,aisle,count
24852,Banana,4,produce,24,fresh fruits,14494
13176,Bag of Organic Bananas,4,produce,24,fresh fruits,11694
21137,Organic Strawberries,4,produce,24,fresh fruits,8081
21903,Organic Baby Spinach,4,produce,123,packaged vegetables fruits,7369
47209,Organic Hass Avocado,4,produce,24,fresh fruits,6411
47766,Organic Avocado,4,produce,24,fresh fruits,5313
47626,Large Lemon,4,produce,24,fresh fruits,4688
16797,Strawberries,4,produce,24,fresh fruits,4340
26209,Limes,4,produce,24,fresh fruits,4225
27966,Organic Raspberries,4,produce,123,packaged vegetables fruits,4164
22935,Organic Yellow Onion,4,produce,83,fresh vegetables,3360
24964,Organic Garlic,4,produce,83,fresh vegetables,3290
45007,Organic Zucchini,4,produce,83,fresh vegetables,3203
39275,Organic Blueberries,4,produce,123,packaged vegetables fruits,3107
49683,Cucumber Kirby,4,produce,83,fresh vegetables,2905
5876,Organic Lemon,4,produce,24,fresh fruits,2718
28204,Organic Fuji Apple,4,produce,24,fresh fruits,2692
8277,Apple Honeycrisp Organic,4,produce,24,fresh fruits,2579
40706,Organic Grape Tomatoes,4,produce,123,packaged vegetables fruits,2553
4920,Seedless Red Grapes,4,produce,123,packaged vegetables fruits,2520
30391,Organic Cucumber,4,produce,83,fresh vegetables,2479
45066,Honeycrisp Apple,4,produce,24,fresh fruits,2467
42265,Organic Baby Carrots,4,produce,123,packaged vegetables fruits,2348
37646,Organic Gala Apples,4,produce,24,fresh fruits,2307
19057,Organic Large Extra Fancy Fuji Apple,4,produce,24,fresh fruits,2272
44632,Sparkling Water Grapefruit,7,beverages,115,water seltzer sparkling water,2270
17794,Carrots,4,produce,83,fresh vegetables,2224
4605,Yellow Onions,4,produce,83,fresh vegetables,2195
21616,Organic Baby Arugula,4,produce,123,packaged vegetables fruits,2180
27104,Fresh Cauliflower,4,produce,83,fresh vegetables,2151
44359,Organic Small Bunch Celery,4,produce,83,fresh vegetables,2145
31717,Organic Cilantro,4,produce,16,fresh herbs,2100
28985,Michigan Organic Kale,4,produce,83,fresh vegetables,2077
8518,Organic Red Onion,4,produce,83,fresh vegetables,1987
46979,Asparagus,4,produce,83,fresh vegetables,1976
41950,Organic Tomato Cluster,4,produce,83,fresh vegetables,1948
26604,Organic Blackberries,4,produce,24,fresh fruits,1880
5077,100% Whole Wheat Bread,3,bakery,112,bread,1815
34126,Organic Italian Parsley Bunch,4,produce,16,fresh herbs,1812
10749,Organic Red Bell Pepper,4,produce,83,fresh vegetables,1773
43352,Raspberries,4,produce,32,packaged produce,1771
39877,Organic Granny Smith Apple,4,produce,24,fresh fruits,1749
24184,Red Peppers,4,produce,83,fresh vegetables,1734
43961,Organic Peeled Whole Baby Carrots,4,produce,123,packaged vegetables fruits,1683
48679,Organic Garnet Sweet Potato (Yam),4,produce,83,fresh vegetables,1668
19660,Spring Water,7,beverages,115,water seltzer sparkling water,1668
34969,Red Vine Tomato,4,produce,83,fresh vegetables,1627
46667,Organic Ginger Root,4,produce,83,fresh vegetables,1620
21938,Green Bell Pepper,4,produce,83,fresh vegetables,1613
12341,Hass Avocados,4,produce,32,packaged produce,1558
22825,Organic D'Anjou Pears,4,produce,24,fresh fruits,1535
39928,Organic Kiwi,4,produce,24,fresh fruits,1512
5450,Small Hass Avocado,4,produce,24,fresh fruits,1506
31506,Extra Virgin Olive Oil,13,pantry,19,oils vinegars,1506
28842,Bunched Cilantro,4,produce,16,fresh herbs,1395
35221,Lime Sparkling Water,7,beverages,115,water seltzer sparkling water,1369
8424,Broccoli Crown,4,produce,83,fresh vegetables,1323
27521,Organic Lacinato (Dinosaur) Kale,4,produce,83,fresh vegetables,1305
33198,Sparkling Natural Mineral Water,7,beverages,115,water seltzer sparkling water,1305
8174,Organic Navel Orange,4,produce,24,fresh fruits,1272
20114,Jalapeno Peppers,4,produce,83,fresh vegetables,1256
44142,Red Onion,4,produce,83,fresh vegetables,1252
29487,Roma Tomato,4,produce,83,fresh vegetables,1237
28199,"Clementines, Bag",4,produce,123,packaged vegetables fruits,1214
43122,Organic Bartlett Pear,4,produce,24,fresh fruits,1201
9839,Organic Broccoli,4,produce,83,fresh vegetables,1176
27156,Organic Black Beans,15,canned goods,59,canned meals beans,1174
15290,Orange Bell Pepper,4,produce,83,fresh vegetables,1146
3957,100% Raw Coconut Water,7,beverages,31,refrigerated,1142
46906,Grape White/Green Seedless,4,produce,24,fresh fruits,1136
41220,Organic Romaine Lettuce,4,produce,83,fresh vegetables,1131
34358,Garlic,4,produce,83,fresh vegetables,1128
196,Soda,7,beverages,77,soft drinks,1117
9387,Granny Smith Apples,4,produce,24,fresh fruits,1083
41787,Bartlett Pears,4,produce,24,fresh fruits,1075
16759,Organic Carrot Bunch,4,produce,83,fresh vegetables,1041
37687,Organic Spring Mix,4,produce,123,packaged vegetables fruits,1018
34243,Organic Baby Broccoli,4,produce,83,fresh vegetables,1009
5479,Italian Sparkling Mineral Water,7,beverages,115,water seltzer sparkling water,986
21709,Sparkling Lemon Water,7,beverages,115,water seltzer sparkling water,985
19678,Organic Russet Potato,4,produce,83,fresh vegetables,943
26369,Organic Roma Tomato,4,produce,83,fresh vegetables,927
6184,Clementines,4,produce,32,packaged produce,925
42768,Organic Garbanzo Beans,15,canned goods,59,canned meals beans,912
8193,Russet Potato,4,produce,83,fresh vegetables,897
28849,No Salt Added Black Beans,15,canned goods,59,canned meals beans,863
21405,"Organic Red Radish, Bunch",4,produce,83,fresh vegetables,855
14947,Pure Sparkling Water,7,beverages,115,water seltzer sparkling water,850
43789,Organic Basil,4,produce,16,fresh herbs,835
5025,Green Onions,4,produce,83,fresh vegetables,832
32689,Romaine Hearts,4,produce,123,packaged vegetables fruits,825
11777,Red Raspberries,4,produce,123,packaged vegetables fruits,822
14992,Green Beans,4,produce,83,fresh vegetables,814
8021,100% Recycled Paper Towels,17,household,54,paper goods,804
5212,Watermelon Chunks,4,produce,123,packaged vegetables fruits,786
41844,Honey Nut Cheerios,14,breakfast,121,cereal,779
10246,Organic Celery Hearts,4,produce,83,fresh vegetables,775
2295,Yellow Bell Pepper,4,produce,83,fresh vegetables,768
25146,Original Orange Juice,7,beverages,31,refrigerated,752
36695,Organic Hothouse Cucumbers,4,produce,83,fresh vegetables,749
13870,Lightly Salted Baked Snap Pea Crisps,19,snacks,107,chips pretzels,735
260,Cantaloupe,4,produce,24,fresh fruits,731
31553,Fresh Ginger Root,4,produce,83,fresh vegetables,723
18362,Organic Bread with 21 Whole Grains,3,bakery,112,bread,718
24830,Organic Romaine,4,produce,123,packaged vegetables fruits,715
38383,Organic White Onions,4,produce,83,fresh vegetables,706
11182,Baby Spinach,4,produce,123,packaged vegetables fruits,703
21288,Blackberries,4,produce,24,fresh fruits,696
43768,Organic Bell Pepper,4,produce,83,fresh vegetables,692
39408,Gala Apples,4,produce,24,fresh fruits,691
890,Organic Diced Tomatoes,15,canned goods,81,canned jarred vegetables,690
46969,Organic Bosc Pear,4,produce,24,fresh fruits,683
43772,Cherubs Heavenly Salad Tomatoes,4,produce,83,fresh vegetables,659
30450,Creamy Almond Butter,13,pantry,88,spreads,657
30776,Organic Raw Kombucha Gingerade,7,beverages,31,refrigerated,657
44683,Brussels Sprouts,4,produce,83,fresh vegetables,656
38777,Organic Green Seedless Grapes,4,produce,123,packaged vegetables fruits,644
37067,Organic Banana,4,produce,24,fresh fruits,644
38456,Large Grapefruit,4,produce,24,fresh fruits,639
26620,Peach Pear Flavored Sparkling Water,7,beverages,115,water seltzer sparkling water,633
47734,Organic Green Cabbage,4,produce,83,fresh vegetables,633
38159,Organic Yellow Peaches,4,produce,24,fresh fruits,632
8859,Natural Spring Water,7,beverages,115,water seltzer sparkling water,623
23375,Marinara Sauce,9,dry goods pasta,9,pasta sauce,623
44910,Organic Spring Mix Salad,4,produce,123,packaged vegetables fruits,621
26165,Electrolyte Enhanced Water,7,beverages,115,water seltzer sparkling water,617
35939,Organic Jalapeno Pepper,4,produce,83,fresh vegetables,616
16953,Creamy Peanut Butter,13,pantry,88,spreads,612
48364,Sweet Onion,4,produce,83,fresh vegetables,610
28289,Organic Shredded Carrots,4,produce,123,packaged vegetables fruits,609
41290,Lemonade,7,beverages,31,refrigerated,608
32864,Organic Baby Rainbow Carrots,4,produce,123,packaged vegetables fruits,603
19048,Organic Butternut Squash,4,produce,83,fresh vegetables,603
44422,Organic Old Fashioned Rolled Oats,14,breakfast,130,hot cereal pancake mixes,600
23165,Organic Leek,4,produce,83,fresh vegetables,592
26940,Organic Large Green Asparagus,4,produce,83,fresh vegetables,591
39812,Organic Thyme,4,produce,16,fresh herbs,589
45,European Cucumber,4,produce,83,fresh vegetables,586
43154,Sparkling Mineral Water,7,beverages,115,water seltzer sparkling water,577
31683,Original No Pulp 100% Florida Orange Juice,7,beverages,31,refrigerated,577
25931,Organic Baby Spinach Salad,4,produce,123,packaged vegetables fruits,575
3952,Organic Broccoli Crowns,4,produce,83,fresh vegetables,568
16349,Organic Yams,4,produce,83,fresh vegetables,567
13984,Organic Mint,4,produce,16,fresh herbs,559
38739,Hass Avocado,4,produce,83,fresh vegetables,555
2966,Pure Coconut Water,7,beverages,98,juice nectars,552
2086,Sustainably Soft Bath Tissue,17,household,54,paper goods,551
18027,Ezekiel 4:9 Bread Organic Sprouted Whole Grain,3,bakery,112,bread,550
10957,Fridge Pack Cola,7,beverages,77,soft drinks,546
7021,Organic Tomato Paste,15,canned goods,81,canned jarred vegetables,544
48745,Globe Eggplant,4,produce,83,fresh vegetables,540
31040,Sea Salt Pita Chips,19,snacks,107,chips pretzels,535
26283,White Corn,4,produce,83,fresh vegetables,535
5818,White Onion,4,produce,83,fresh vegetables,532
35547,Organic Baby Kale,4,produce,83,fresh vegetables,528
43713,Organic Creamy Peanut Butter,13,pantry,88,spreads,526
15937,Shallot,4,produce,83,fresh vegetables,522
38400,Asparation/Broccolini/Baby Broccoli,4,produce,83,fresh vegetables,515
45535,Organic Low Sodium Chicken Broth,15,canned goods,69,soup broth bouillon,512
45603,Trilogy Kombucha Drink,7,beverages,31,refrigerated,507
20119,Sparkling Water Berry,7,beverages,115,water seltzer sparkling water,507
34050,Orange Juice,7,beverages,31,refrigerated,506
34448,Original Veggie Straws,19,snacks,50,fruit vegetable snacks,502
39619,Organic Tomato Basil Pasta Sauce,9,dry goods pasta,9,pasta sauce,498
12206,Basil Pesto,9,dry goods pasta,9,pasta sauce,492
26790,Organic AppleApple,15,canned goods,99,canned fruit applesauce,491
18441,Organic Ketchup,13,pantry,72,condiments,487
48205,Spinach,4,produce,123,packaged vegetables fruits,487
21267,Sourdough Bread,3,bakery,112,bread,485
25340,Large Yellow Flesh Nectarine,4,produce,24,fresh fruits,482
13629,Organic Snipped Green Beans,4,produce,83,fresh vegetables,480
6187,Raisin Bran Cereal,14,breakfast,121,cereal,479
32734,Spaghetti,9,dry goods pasta,131,dry pasta,479
37766,XL Emerald White Seedless Grapes,4,produce,123,packaged vegetables fruits,474
39984,Organic Dill,4,produce,16,fresh herbs,474
